rpm,advance_degrees,data_source
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.51,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1395,8.54,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.68,plot_data
1596,9.76,plot_data
1596,9.71,plot_data
1596,9.68,plot_data
1596,9.75,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.68,plot_data
1596,9.75,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.71,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1596,9.72,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
