time_sec,rpm,reason
12.765,1987,Missing spark - no dwell before next trigger
12.946,1987,Missing spark - no dwell before next trigger
12.991,1987,Missing spark - no dwell before next trigger
13.034,2098,Missing spark - no dwell before next trigger
13.077,2098,Missing spark - no dwell before next trigger
13.149,2098,Missing spark - no dwell before next trigger
13.535,2098,Missing spark - no dwell before next trigger
13.635,2098,Missing spark - no dwell before next trigger
13.721,2098,Missing spark - no dwell before next trigger
13.778,2098,Missing spark - no dwell before next trigger
13.992,2098,Missing spark - no dwell before next trigger
14.121,2098,Missing spark - no dwell before next trigger
14.193,2098,Missing spark - no dwell before next trigger
14.235,2098,Missing spark - no dwell before next trigger
14.407,2098,Missing spark - no dwell before next trigger
14.593,2098,Missing spark - no dwell before next trigger
14.707,2098,Missing spark - no dwell before next trigger
14.993,2098,Missing spark - no dwell before next trigger
15.815,2190,Missing spark - no dwell before next trigger
15.856,2190,Missing spark - no dwell before next trigger
16.076,2190,Missing spark - no dwell before next trigger
16.254,2190,Missing spark - no dwell before next trigger
16.336,2190,Missing spark - no dwell before next trigger
16.994,2190,Missing spark - no dwell before next trigger
17.020,2290,Missing spark - no dwell before next trigger
17.282,2290,Missing spark - no dwell before next trigger
17.491,2290,Missing spark - no dwell before next trigger
17.609,2290,Missing spark - no dwell before next trigger
17.871,2290,Missing spark - no dwell before next trigger
18.238,2290,Missing spark - no dwell before next trigger
18.264,2290,Missing spark - no dwell before next trigger
18.552,2290,Missing spark - no dwell before next trigger
18.670,2290,Missing spark - no dwell before next trigger
18.854,2290,Missing spark - no dwell before next trigger
19.061,2381,Missing spark - no dwell before next trigger
19.174,2381,Missing spark - no dwell before next trigger
19.237,2381,Missing spark - no dwell before next trigger
19.439,2381,Missing spark - no dwell before next trigger
19.577,2381,Missing spark - no dwell before next trigger
19.716,2381,Missing spark - no dwell before next trigger
19.766,2381,Missing spark - no dwell before next trigger
19.779,2381,Missing spark - no dwell before next trigger
19.804,2381,Missing spark - no dwell before next trigger
19.930,2381,Missing spark - no dwell before next trigger
19.955,2381,Missing spark - no dwell before next trigger
20.157,2381,Missing spark - no dwell before next trigger
20.346,2381,Missing spark - no dwell before next trigger
20.384,2381,Missing spark - no dwell before next trigger
20.535,2381,Missing spark - no dwell before next trigger
20.573,2381,Missing spark - no dwell before next trigger
20.724,2381,Missing spark - no dwell before next trigger
20.737,2381,Missing spark - no dwell before next trigger
20.837,2381,Missing spark - no dwell before next trigger
21.050,2479,Missing spark - no dwell before next trigger
21.304,2479,Missing spark - no dwell before next trigger
21.340,2479,Missing spark - no dwell before next trigger
21.352,2479,Missing spark - no dwell before next trigger
21.461,2479,Missing spark - no dwell before next trigger
21.667,2479,Missing spark - no dwell before next trigger
21.897,2479,Missing spark - no dwell before next trigger
22.102,2479,Missing spark - no dwell before next trigger
22.175,2479,Missing spark - no dwell before next trigger
22.235,2479,Missing spark - no dwell before next trigger
22.272,2479,Missing spark - no dwell before next trigger
22.284,2479,Missing spark - no dwell before next trigger
22.405,2479,Missing spark - no dwell before next trigger
22.441,2479,Missing spark - no dwell before next trigger
22.610,2479,Missing spark - no dwell before next trigger
22.623,2479,Missing spark - no dwell before next trigger
22.671,2479,Missing spark - no dwell before next trigger
22.840,2479,Missing spark - no dwell before next trigger
22.949,2479,Missing spark - no dwell before next trigger
23.125,2586,Missing spark - no dwell before next trigger
23.195,2586,Missing spark - no dwell before next trigger
23.206,2586,Missing spark - no dwell before next trigger
23.241,2586,Missing spark - no dwell before next trigger
23.311,2586,Missing spark - no dwell before next trigger
23.346,2586,Missing spark - no dwell before next trigger
23.381,2586,Missing spark - no dwell before next trigger
23.578,2586,Missing spark - no dwell before next trigger
24.181,2586,Missing spark - no dwell before next trigger
24.216,2586,Missing spark - no dwell before next trigger
24.401,2586,Missing spark - no dwell before next trigger
24.448,2586,Missing spark - no dwell before next trigger
24.459,2586,Missing spark - no dwell before next trigger
24.494,2586,Missing spark - no dwell before next trigger
24.517,2586,Missing spark - no dwell before next trigger
24.761,2586,Missing spark - no dwell before next trigger
24.900,2586,Missing spark - no dwell before next trigger
24.993,2586,Missing spark - no dwell before next trigger
25.519,2679,Missing spark - no dwell before next trigger
25.542,2679,Missing spark - no dwell before next trigger
25.721,2679,Missing spark - no dwell before next trigger
25.777,2679,Missing spark - no dwell before next trigger
26.079,2679,Missing spark - no dwell before next trigger
26.135,2679,Missing spark - no dwell before next trigger
26.146,2679,Missing spark - no dwell before next trigger
26.158,2679,Missing spark - no dwell before next trigger
26.203,2679,Missing spark - no dwell before next trigger
26.214,2679,Missing spark - no dwell before next trigger
26.259,2679,Missing spark - no dwell before next trigger
26.270,2679,Missing spark - no dwell before next trigger
26.281,2679,Missing spark - no dwell before next trigger
26.684,2679,Missing spark - no dwell before next trigger
26.841,2679,Missing spark - no dwell before next trigger
27.106,2778,Missing spark - no dwell before next trigger
27.214,2778,Missing spark - no dwell before next trigger
27.311,2778,Missing spark - no dwell before next trigger
27.343,2778,Missing spark - no dwell before next trigger
27.408,2778,Missing spark - no dwell before next trigger
27.559,2778,Missing spark - no dwell before next trigger
27.624,2778,Missing spark - no dwell before next trigger
27.819,2778,Missing spark - no dwell before next trigger
27.991,2778,Missing spark - no dwell before next trigger
28.197,2778,Missing spark - no dwell before next trigger
28.229,2778,Missing spark - no dwell before next trigger
28.499,2778,Missing spark - no dwell before next trigger
28.693,2778,Missing spark - no dwell before next trigger
28.780,2778,Missing spark - no dwell before next trigger
28.877,2778,Missing spark - no dwell before next trigger
28.909,2778,Missing spark - no dwell before next trigger
28.931,2778,Missing spark - no dwell before next trigger
28.985,2778,Missing spark - no dwell before next trigger
29.058,2885,Missing spark - no dwell before next trigger
29.162,2885,Missing spark - no dwell before next trigger
29.276,2885,Missing spark - no dwell before next trigger
29.360,2885,Missing spark - no dwell before next trigger
29.443,2885,Missing spark - no dwell before next trigger
29.516,2885,Missing spark - no dwell before next trigger
29.568,2885,Missing spark - no dwell before next trigger
29.817,2885,Missing spark - no dwell before next trigger
30.025,2885,Missing spark - no dwell before next trigger
30.067,2885,Missing spark - no dwell before next trigger
30.077,2885,Missing spark - no dwell before next trigger
30.181,2885,Missing spark - no dwell before next trigger
30.306,2885,Missing spark - no dwell before next trigger
30.462,2885,Missing spark - no dwell before next trigger
30.524,2885,Missing spark - no dwell before next trigger
30.660,2885,Missing spark - no dwell before next trigger
30.743,2885,Missing spark - no dwell before next trigger
30.837,2885,Missing spark - no dwell before next trigger
30.857,2885,Missing spark - no dwell before next trigger
31.043,2970,Missing spark - no dwell before next trigger
31.093,2970,Missing spark - no dwell before next trigger
31.154,2970,Missing spark - no dwell before next trigger
31.164,2970,Missing spark - no dwell before next trigger
31.235,2970,Missing spark - no dwell before next trigger
31.316,2970,Missing spark - no dwell before next trigger
31.366,2970,Missing spark - no dwell before next trigger
31.497,2970,Missing spark - no dwell before next trigger
31.558,2970,Missing spark - no dwell before next trigger
31.609,2970,Missing spark - no dwell before next trigger
31.629,2970,Missing spark - no dwell before next trigger
31.639,2970,Missing spark - no dwell before next trigger
31.700,2970,Missing spark - no dwell before next trigger
31.901,2970,Missing spark - no dwell before next trigger
31.942,2970,Missing spark - no dwell before next trigger
31.992,2970,Missing spark - no dwell before next trigger
32.174,2970,Missing spark - no dwell before next trigger
32.316,2970,Missing spark - no dwell before next trigger
32.356,2970,Missing spark - no dwell before next trigger
32.366,2970,Missing spark - no dwell before next trigger
32.457,2970,Missing spark - no dwell before next trigger
32.467,2970,Missing spark - no dwell before next trigger
32.598,2970,Missing spark - no dwell before next trigger
32.639,2970,Missing spark - no dwell before next trigger
32.810,2970,Missing spark - no dwell before next trigger
32.911,2970,Missing spark - no dwell before next trigger
33.041,3093,Missing spark - no dwell before next trigger
33.080,3093,Missing spark - no dwell before next trigger
33.206,3093,Missing spark - no dwell before next trigger
33.303,3093,Missing spark - no dwell before next trigger
33.351,3093,Missing spark - no dwell before next trigger
33.419,3093,Missing spark - no dwell before next trigger
33.438,3093,Missing spark - no dwell before next trigger
33.468,3093,Missing spark - no dwell before next trigger
33.584,3093,Missing spark - no dwell before next trigger
33.691,3093,Missing spark - no dwell before next trigger
33.953,3093,Missing spark - no dwell before next trigger
