Timing Analysis: wokwi-logic.vcd
Total measurements: 4680

Time(s)    RPM   Delay(μs)  Delay(°)  Advance(°)  Mode
  7.35    997  2680071.7  16027.0  -15980.0  SAME
  7.38    997  2649971.7  15847.0  -15800.0  SAME
  7.41    997  2619871.7  15667.0  -15620.0  SAME
  7.44    997  2589771.7  15487.0  -15440.0  SAME
  7.47    997  2559671.7  15307.0  -15260.0  SAME
  7.50    997  2529571.7  15127.0  -15080.0  SAME
  7.53    997  2499471.7  14947.0  -14900.0  SAME
  7.56    997  2469371.7  14767.0  -14720.0  SAME
  7.59    997  2439271.7  14587.0  -14540.0  SAME
  7.62    997  2409171.7  14407.0  -14360.0  SAME
  7.65    997  2379071.7  14227.0  -14180.0  SAME
  7.68    997  2348971.7  14047.0  -14000.0  SAME
  7.71    997  2318871.7  13867.0  -13820.0  SAME
  7.74    997  2288771.7  13687.0  -13640.0  SAME
  7.77    997  2258671.7  13507.0  -13460.0  SAME
  7.80    997  2228571.7  13327.0  -13280.0  SAME
  7.83    997  2198471.7  13147.0  -13100.0  SAME
  7.86    997  2168371.7  12967.0  -12920.0  SAME
  7.89    997  2138271.7  12787.0  -12740.0  SAME
  7.92    997  2108171.7  12607.0  -12560.0  SAME
  7.95    997  2078071.7  12427.0  -12380.0  SAME
  7.98    997  2047971.7  12247.0  -12200.0  SAME
  8.01    997  2017871.7  12067.0  -12020.0  SAME
  8.04    997  1987771.7  11887.0  -11840.0  SAME
  8.07    997  1957671.7  11707.0  -11660.0  SAME
  8.10    997  1927571.7  11527.0  -11480.0  SAME
  8.13    997  1897471.7  11347.0  -11300.0  SAME
  8.16    997  1867371.7  11167.0  -11120.0  SAME
  8.19    997  1837271.7  10987.0  -10940.0  SAME
  8.22    997  1807171.7  10807.0  -10760.0  SAME
  8.25    997  1777071.7  10627.0  -10580.0  SAME
  8.28    997  1746971.7  10447.0  -10400.0  SAME
  8.31    997  1716871.7  10267.0  -10220.0  SAME
  8.34    997  1686771.7  10087.0  -10040.0  SAME
  8.37    997  1656671.7   9907.0   -9860.0  SAME
  8.40    997  1626571.7   9727.0   -9680.0  SAME
  8.43    997  1596471.7   9547.0   -9500.0  SAME
  8.46    997  1566371.7   9367.0   -9320.0  SAME
  8.49    997  1536271.7   9187.0   -9140.0  SAME
  8.52    997  1506171.7   9007.0   -8960.0  SAME
  8.55    997  1476071.7   8827.0   -8780.0  SAME
  8.58    997  1445971.7   8647.0   -8600.0  SAME
  8.61    997  1415871.7   8467.0   -8420.0  SAME
  8.64    997  1385771.7   8287.0   -8240.0  SAME
  8.67    997  1355671.7   8107.0   -8060.0  SAME
  8.70    997  1325571.7   7927.0   -7880.0  SAME
  8.73    997  1295471.7   7747.0   -7700.0  SAME
  8.76    997  1265371.7   7567.0   -7520.0  SAME
  8.79    997  1235271.7   7387.0   -7340.0  SAME
  8.82    997  1205171.7   7207.0   -7160.0  SAME
  8.85    997  1175071.7   7027.0   -6980.0  SAME
  8.88    997  1144971.7   6847.0   -6800.0  SAME
  8.91    997  1114871.7   6667.0   -6620.0  SAME
  8.94    997  1084771.7   6487.0   -6440.0  SAME
  8.97    997  1054671.7   6307.0   -6260.0  SAME
  9.00    997  1024571.7   6127.0   -6080.0  SAME
  9.03    997  994471.7   5947.0   -5900.0  SAME
  9.06    997  964371.7   5767.0   -5720.0  SAME
  9.09    997  934271.7   5587.0   -5540.0  SAME
  9.12    997  904171.7   5407.0   -5360.0  SAME
  9.15    997  874071.7   5227.0   -5180.0  SAME
  9.18    997  843971.7   5047.0   -5000.0  SAME
  9.21    997  813871.7   4867.0   -4820.0  SAME
  9.24    997  783771.7   4687.0   -4640.0  SAME
  9.27    997  753671.7   4507.0   -4460.0  SAME
  9.30    997  723571.7   4327.0   -4280.0  SAME
  9.33    997  693471.7   4147.0   -4100.0  SAME
  9.36    997  663371.7   3967.0   -3920.0  SAME
  9.39    997  633271.7   3787.0   -3740.0  SAME
  9.42    997  603171.7   3607.0   -3560.0  SAME
  9.45    997  573071.7   3427.0   -3380.0  SAME
  9.48    997  542971.7   3247.0   -3200.0  SAME
  9.51    997  512871.7   3067.0   -3020.0  SAME
  9.54    997  482771.7   2887.0   -2840.0  SAME
  9.57    997  452671.7   2707.0   -2660.0  SAME
  9.60    997  422571.7   2527.0   -2480.0  SAME
  9.63    997  392471.7   2347.0   -2300.0  SAME
  9.66    997  362371.7   2167.0   -2120.0  SAME
  9.69    997  332271.7   1987.0   -1940.0  SAME
  9.72    997  302171.7   1807.0   -1760.0  SAME
  9.75    997  272071.7   1627.0   -1580.0  SAME
  9.78    997  241971.7   1447.0   -1400.0  SAME
  9.81    997  211871.7   1267.0   -1220.0  SAME
  9.84    997  181771.7   1087.0   -1040.0  SAME
  9.87    997  151671.7    907.0    -860.0  SAME
  9.90    997  121571.7    727.0    -680.0  SAME
  9.93    997   91471.7    547.0    -500.0  SAME
  9.96    997   61371.7    367.0    -320.0  SAME
  9.99   1014   31771.7    193.2    -146.2  SAME
 10.01   2190   18071.7    237.4    -190.4  SAME
 10.02   1987    2971.7     35.4      11.6  SAME
 10.04   1987    3213.1     38.3       8.7  SAME
 10.05   1987    2961.2     35.3      11.7  SAME
 10.07   1987    3206.6     38.2       8.8  SAME
 10.08   1987    2955.1     35.2      11.8  SAME
 10.10   1987    3209.6     38.3       8.7  SAME
 10.11   1987    2951.8     35.2      11.8  SAME
 10.13   1987    3210.6     38.3       8.7  SAME
 10.14   1987    2950.2     35.2      11.8  SAME
 10.16   1987    3204.6     38.2       8.8  SAME
 10.17   1987    2949.1     35.2      11.8  SAME
 10.19   1987    3208.1     38.2       8.8  SAME
 10.20   1987    3199.6     38.1       8.9  SAME
 10.22   1987    2948.7     35.1      11.9  SAME
 10.23   1987    3209.1     38.3       8.7  SAME
 10.25   1987    2948.6     35.1      11.9  SAME
 10.26   1987    3199.2     38.1       8.9  SAME
 10.28   1987    2948.8     35.2      11.8  SAME
