time_seconds,D0,D1,D2
6.238616,1,0,0
6.285100,0,0,0
6.291300,1,0,0
6.297305,1,1,0
6.297305,1,1,1
6.300307,1,0,1
6.300307,1,0,0
6.346400,0,0,0
6.352500,1,0,0
6.358448,1,1,0
6.358448,1,1,1
6.361449,1,0,1
6.361449,1,0,0
6.407100,0,0,0
6.413000,1,0,0
6.418990,1,1,0
6.418990,1,1,1
6.421991,1,0,1
6.421991,1,0,0
6.467000,0,0,0
6.472900,1,0,0
6.478682,1,1,0
6.478682,1,1,1
6.481683,1,0,1
6.481683,1,0,0
6.526300,0,0,0
6.532200,1,0,0
6.537825,1,1,0
6.537825,1,1,1
6.540826,1,0,1
6.540826,1,0,0
6.585100,0,0,0
6.590900,1,0,0
6.596493,1,1,0
6.596493,1,1,1
6.599494,1,0,1
6.599494,1,0,0
6.643300,0,0,0
6.649000,1,0,0
6.654536,1,1,0
6.654536,1,1,1
6.657537,1,0,1
6.657537,1,0,0
6.700900,0,0,0
6.706600,1,0,0
6.711980,1,1,0
6.711980,1,1,1
6.714981,1,0,1
6.714982,1,0,0
6.758000,0,0,0
6.763600,1,0,0
6.768948,1,1,0
6.768948,1,1,1
6.771949,1,0,1
6.771949,1,0,0
6.814500,0,0,0
6.820100,1,0,0
6.825292,1,1,0
6.825293,1,1,1
6.828294,1,0,1
6.828294,1,0,0
6.870600,0,0,0
6.876100,1,0,0
6.881286,1,1,0
6.881286,1,1,1
6.884287,1,0,1
6.884287,1,0,0
6.926100,0,0,0
6.931600,1,0,0
6.936629,1,1,0
6.936630,1,1,1
6.939631,1,0,1
6.939631,1,0,0
6.981200,0,0,0
6.986600,1,0,0
6.991623,1,1,0
6.991623,1,1,1
6.994624,1,0,1
6.994624,1,0,0
7.035700,0,0,0
7.041200,1,0,0
7.045968,1,1,0
7.045968,1,1,1
7.048969,1,0,1
7.048969,1,0,0
7.089900,0,0,0
7.095300,1,0,0
7.100086,1,1,0
7.100086,1,1,1
7.103087,1,0,1
7.103087,1,0,0
7.143600,0,0,0
7.148900,1,0,0
7.153655,1,1,0
7.153656,1,1,1
7.156657,1,0,1
7.156657,1,0,0
7.196800,0,0,0
7.202100,1,0,0
7.206725,1,1,0
7.206725,1,1,1
7.209726,1,0,1
7.209727,1,0,0
7.249600,0,0,0
