time_sec,rpm,reason
66.530,7143,No spark found after trigger
66.534,7143,No spark found after trigger
66.538,7143,No spark found after trigger
66.542,7143,No spark found after trigger
66.547,7143,No spark found after trigger
66.551,7143,No spark found after trigger
66.555,7143,No spark found after trigger
66.559,7143,No spark found after trigger
66.563,7143,No spark found after trigger
66.568,7143,No spark found after trigger
66.572,7143,No spark found after trigger
66.576,7143,No spark found after trigger
66.580,7143,No spark found after trigger
66.584,7143,No spark found after trigger
66.589,7143,No spark found after trigger
66.593,7143,No spark found after trigger
66.597,7143,No spark found after trigger
66.601,7143,No spark found after trigger
66.605,7143,No spark found after trigger
66.610,7143,No spark found after trigger
66.614,7143,No spark found after trigger
66.618,7143,No spark found after trigger
66.622,7143,No spark found after trigger
66.626,7143,No spark found after trigger
66.631,7143,No spark found after trigger
66.635,7143,No spark found after trigger
66.639,7143,No spark found after trigger
66.643,7143,No spark found after trigger
66.647,7143,No spark found after trigger
66.652,7143,No spark found after trigger
66.656,7143,No spark found after trigger
66.660,7143,No spark found after trigger
66.664,7143,No spark found after trigger
66.668,7143,No spark found after trigger
66.673,7143,No spark found after trigger
66.677,7143,No spark found after trigger
66.681,7143,No spark found after trigger
66.685,7143,No spark found after trigger
66.689,7143,No spark found after trigger
66.694,7143,No spark found after trigger
66.698,7143,No spark found after trigger
66.702,7143,No spark found after trigger
66.706,7143,No spark found after trigger
66.710,7143,No spark found after trigger
66.715,7143,No spark found after trigger
66.719,7143,No spark found after trigger
66.723,7143,No spark found after trigger
66.727,7143,No spark found after trigger
66.731,7143,No spark found after trigger
66.736,7143,No spark found after trigger
66.740,7143,No spark found after trigger
66.744,7143,No spark found after trigger
66.748,7143,No spark found after trigger
66.752,7143,No spark found after trigger
66.757,7143,No spark found after trigger
66.761,7143,No spark found after trigger
66.765,7143,No spark found after trigger
66.769,7143,No spark found after trigger
66.773,7143,No spark found after trigger
66.778,7143,No spark found after trigger
66.782,7143,No spark found after trigger
66.786,7143,No spark found after trigger
66.790,7143,No spark found after trigger
66.794,7143,No spark found after trigger
66.799,7143,No spark found after trigger
66.803,7143,No spark found after trigger
66.807,7143,No spark found after trigger
66.811,7143,No spark found after trigger
66.815,7143,No spark found after trigger
66.820,7143,No spark found after trigger
66.824,7143,No spark found after trigger
66.828,7143,No spark found after trigger
66.832,7143,No spark found after trigger
66.836,7143,No spark found after trigger
66.841,7143,No spark found after trigger
66.845,7143,No spark found after trigger
66.849,7143,No spark found after trigger
66.853,7143,No spark found after trigger
66.857,7143,No spark found after trigger
66.862,7143,No spark found after trigger
66.866,7143,No spark found after trigger
66.870,7143,No spark found after trigger
66.874,7143,No spark found after trigger
66.878,7143,No spark found after trigger
66.883,7143,No spark found after trigger
66.887,7143,No spark found after trigger
66.891,7143,No spark found after trigger
66.895,7143,No spark found after trigger
66.899,7143,No spark found after trigger
66.904,7143,No spark found after trigger
66.908,7143,No spark found after trigger
66.912,7143,No spark found after trigger
66.916,7143,No spark found after trigger
66.920,7143,No spark found after trigger
66.925,7143,No spark found after trigger
66.929,7143,No spark found after trigger
66.933,7143,No spark found after trigger
66.937,7143,No spark found after trigger
66.941,7143,No spark found after trigger
66.946,7143,No spark found after trigger
66.950,7143,No spark found after trigger
66.954,7143,No spark found after trigger
66.958,7143,No spark found after trigger
66.962,7143,No spark found after trigger
66.967,7143,No spark found after trigger
66.971,7143,No spark found after trigger
66.975,7143,No spark found after trigger
66.979,7143,No spark found after trigger
66.983,7143,No spark found after trigger
66.988,7143,No spark found after trigger
66.992,7143,No spark found after trigger
66.996,7143,No spark found after trigger
67.000,7143,No spark found after trigger
67.004,7143,No spark found after trigger
67.009,7143,No spark found after trigger
67.013,7143,No spark found after trigger
67.017,7143,No spark found after trigger
67.021,7143,No spark found after trigger
67.025,7143,No spark found after trigger
67.030,7143,No spark found after trigger
67.034,7143,No spark found after trigger
67.038,7143,No spark found after trigger
67.042,7143,No spark found after trigger
67.046,7143,No spark found after trigger
67.051,7143,No spark found after trigger
67.055,7143,No spark found after trigger
67.059,7143,No spark found after trigger
67.063,7143,No spark found after trigger
67.067,7143,No spark found after trigger
67.072,7143,No spark found after trigger
67.076,7143,No spark found after trigger
67.080,7143,No spark found after trigger
67.084,7143,No spark found after trigger
67.088,7143,No spark found after trigger
67.093,7143,No spark found after trigger
67.097,7143,No spark found after trigger
